DVM,TPDetailsLookUp,
TP_Identifier,TP_Name,TP_EDI_ID,TP_EDI_ID_Qualifier,HOST_EDI_ID,HOST_EDI_ID_Qualifier,TP_Element_Separator,TP_Subelement_Separator,TP_Segment_Terminator,TP_File_Name_Prefix,TP_File_Location_Prefix,TP_Transformation_Type,TP_Integration_Code,TP_Integration_Version,TP_Intermediate_Integration_Identifier
ECIPSN005269709HNIT,DDMS Supply,ECIPSN,ZZ,005269709HNIT,01,,,,DDMS_,/home/users/hexaware_admin/oic/tradingpartner/outbound/ecipsn,,,,
EATON005269709HNIT,Eaton,EATON,ZZ,005269709HNIT,01,,,,Eaton_,/home/users/hexaware_admin/oic/tradingpartner/outbound/eaton,,,,
233029143005269709HNIT,EOfficeDirect,233029143,01,005269709HNIT,01,,,,Eoffice_,,,,,
18978783005269709HNIT,Essendant,18978783,01,005269709HNIT,01,,,,Essendant_,/home/users/hexaware_admin/oic/tradingpartner/outbound/essendant,,,,
FMCNA005269709HNIT,Fresenius Medical Care,FMCNA,ZZ,005269709HNIT,01,,,,Fresenius_,/home/users/hexaware_admin/oic/tradingpartner/outbound/fresenius,,,,
8665680524005269709HNIT,Ibuy Office Supply,8665680524,12,005269709HNIT,01,,,,Ibuy_,/home/users/hexaware_admin/oic/tradingpartner/outbound/ibuyoffice,,,,
LBHITOUCHEDI005269709HNIT,MyOfficeProducts,LBHITOUCHEDI,ZZ,005269709HNIT,01,,,,MyOffice_,/home/users/hexaware_admin/oic/tradingpartner/outbound/myOfficeProduct,,,,
NATBUSFURNITURE005269709HNIT,National Business Furniture -- SPS Commerce,NATBUSFURNITURE,ZZ,005269709HNIT,01,,,,National_,/home/users/hexaware_admin/oic/tradingpartner/outbound/spsCommerce,,,,
3176321360005269709HNIT,Office 360,3176321360,12,005269709HNIT,01,,,,Office360_,/home/users/hexaware_admin/oic/tradingpartner/outbound/office360,,,,
8005415855005269709HNIT,Office Basics,8005415855,12,005269709HNIT,01,,,,OfficeBasics_,/home/users/hexaware_admin/oic/tradingpartner/outbound/officebasics,,,,
6123410000005269709HNIT,Office Depot,6123410000,08,005269709HNIT,01,,,,OfficeDepot_,/home/users/hexaware_admin/oic/tradingpartner/outbound/sterling,,,,
6123410000VW005269709HNIT,Office Depot Virtual Warehouse,6123410000VW,08,005269709HNIT,01,,,,OfficeVirtual_,/home/users/hexaware_admin/oic/tradingpartner/outbound/sterling,,,,
7146927412005269709HNIT,Office Solutions,7146927412,12,005269709HNIT,01,,,,OfficeSolutions_,/home/users/hexaware_admin/oic/tradingpartner/outbound/officesolutions,,,,
5082531643CHQT005269709HNIT,Quill Commerce Hub,5082531643CHQT,12,005269709HNIT,01,,,,Quill_,/home/users/hexaware_admin/oic/tradingpartner/outbound/commercehub,,,,
